Date,Hash,Filename,Result
2023-12-05 12:01:46.411216,0c7fd13f563e19b08813d2a6f1968b8ca27e4195,VirusShare_10d928d44792b3374825b54f9279e7c6,/home/user/virus_test_eset/flask_server/virus/VirusShare_10d928d44792b3374825b54f9279e7c6: 14: Syntax error: EOF in backquote substitution
2023-12-05 12:02:23.898720,c24deb4713c765188979765be5aadcd7081b674b,VirusShare_118acc9eef9585d804a68109a877d0ea,/home/user/virus_test_eset/flask_server/virus/VirusShare_118acc9eef9585d804a68109a877d0ea: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:03:00.960179,88e091a86332f4a0197f0ac8b3b39f6c0ed25b62,VirusShare_11e0d19bbdb3bd057ed80b5ffb52d07f,/home/user/virus_test_eset/flask_server/virus/VirusShare_11e0d19bbdb3bd057ed80b5ffb52d07f: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:03:33.962780,3db38642a062ed261c77ddfdbd52218e368948ea,VirusShare_1223894f1331fdab269d18d42f7e91da,/home/user/virus_test_eset/flask_server/virus/VirusShare_1223894f1331fdab269d18d42f7e91da: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:04:12.021922,995707b0d844103bfbb5eca6fab9b5a50b855dfd,VirusShare_123dfe79846e600a8336cd14fe647d5c,/home/user/virus_test_eset/flask_server/virus/VirusShare_123dfe79846e600a8336cd14fe647d5c: 1: Syntax error: \"(\" unexpected
2023-12-05 12:04:45.285128,f300b9b33d6de6c5baae42b1ce283ebec10cb6da,VirusShare_1244aebdb43246edec6ee54f420985aa,/home/user/virus_test_eset/flask_server/virus/VirusShare_1244aebdb43246edec6ee54f420985aa: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:05:14.357902,bf689b263afaf34aa0af8303bdfe5e18fdbcb4ae,VirusShare_12c92784baed75ab1b7a7e7aceef9a37,/home/user/virus_test_eset/flask_server/virus/VirusShare_12c92784baed75ab1b7a7e7aceef9a37: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:05:46.344519,9ec1766586c0a6683fb4ed8d3b85fa1d587a7914,VirusShare_13163a8ba292463f07dcfeb5c4ac342b,/home/user/virus_test_eset/flask_server/virus/VirusShare_13163a8ba292463f07dcfeb5c4ac342b: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:06:18.114668,a3fa2a2d81be4fbf1b7b4392ea518d0b6f5d409e,VirusShare_131c1007e660515a2e19f1ab4b6348d5,/home/user/virus_test_eset/flask_server/virus/VirusShare_131c1007e660515a2e19f1ab4b6348d5: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:08:53.132238,404395cf309370143c33ae5b9afdb50323c72f08,VirusShare_13d48236316a667439a79aa595ba55a4,TIME EXCEEDED
